Country,Health Care,Income,Inflation,Life Expectancy
Bangladesh,3.52,2440.0,7.14,70.4
Cambodia,5.68,2520.0,3.12,66.1
Cameroon,5.13,2660.0,1.91,57.3
Cote d'Ivoire,5.3,2690.0,5.39,56.3
Ghana,5.22,3060.0,16.6,62.2
India,4.05,4410.0,8.98,66.2
Kenya,4.75,2480.0,2.09,62.8
Kyrgyz Republic,6.18,2790.0,10.0,68.5
Lao,4.47,3980.0,9.2,63.8
Lesotho,11.1,2380.0,4.15,46.5
Mauritania,4.41,3320.0,18.9,68.2
"Micronesia, Fed. Sts.",14.2,3340.0,3.8,65.4
Moldova,11.7,3910.0,11.1,69.7
Myanmar,1.97,3720.0,7.04,66.8
Pakistan,2.2,4280.0,10.9,65.3
Senegal,5.66,2180.0,1.85,64.0
Sudan,6.32,3370.0,19.6,66.3
Tajikistan,5.98,2110.0,12.5,69.6
Tanzania,6.01,2090.0,9.25,59.3
Tonga,5.07,4980.0,3.68,69.9
Uzbekistan,5.81,4240.0,16.5,68.8
Vanuatu,5.25,2950.0,2.62,63.0
Vietnam,6.84,4490.0,12.1,73.1
Yemen,5.18,4480.0,23.6,67.5
Zambia,5.89,3280.0,14.0,52.0
